<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20240502,100500,308.71,309.19,308.49,308.88,391370
SBER,5,20240502,101000,308.89,308.89,308.38,308.63,295300
SBER,5,20240502,101500,308.64,308.86,308.6,308.86,115680
SBER,5,20240502,102000,308.85,308.89,308.6,308.6,128620
SBER,5,20240502,102500,308.63,308.63,308.4,308.43,153160
SBER,5,20240502,103000,308.45,308.49,308.4,308.46,98140
SBER,5,20240502,103500,308.45,308.49,308.36,308.42,99500
SBER,5,20240502,104000,308.41,308.44,308.39,308.41,123020
SBER,5,20240502,104500,308.42,308.49,308.41,308.45,125800
SBER,5,20240502,105000,308.45,308.48,308.3,308.36,121110
SBER,5,20240502,105500,308.35,308.47,308.3,308.41,53540
SBER,5,20240502,110000,308.41,308.43,308.25,308.39,75380
SBER,5,20240502,110500,308.39,308.45,308.34,308.37,23050
SBER,5,20240502,111000,308.42,308.47,308.36,308.46,32580
SBER,5,20240502,111500,308.47,308.49,308.35,308.39,67420
SBER,5,20240502,112000,308.37,308.48,308.31,308.48,43590
SBER,5,20240502,112500,308.47,308.48,308.34,308.42,45390
SBER,5,20240502,113000,308.42,308.49,308.4,308.49,68450
SBER,5,20240502,113500,308.49,308.49,308.34,308.41,101830
SBER,5,20240502,114000,308.42,308.47,308.35,308.36,60870
SBER,5,20240502,114500,308.36,308.48,308.34,308.45,61260
SBER,5,20240502,115000,308.45,308.45,308.3,308.39,69480
SBER,5,20240502,115500,308.36,308.45,308.3,308.39,104800
SBER,5,20240502,120000,308.4,308.44,308.35,308.44,16500
SBER,5,20240502,120500,308.43,308.45,308.34,308.36,59580
SBER,5,20240502,121000,308.39,308.44,308.33,308.37,80320
SBER,5,20240502,121500,308.37,308.45,308.31,308.43,148310
SBER,5,20240502,122000,308.41,308.41,308.3,308.3,29890
SBER,5,20240502,122500,308.31,308.36,308.3,308.34,155280
SBER,5,20240502,123000,308.33,308.41,308.33,308.37,38620
SBER,5,20240502,123500,308.38,308.4,308.3,308.3,87180
SBER,5,20240502,124000,308.31,308.35,308.2,308.29,312680
SBER,5,20240502,124500,308.26,308.34,308.22,308.27,60700
SBER,5,20240502,125000,308.26,308.26,308.2,308.23,37040
SBER,5,20240502,125500,308.23,308.34,308.2,308.2,90070
